Year,Rank,Company,Revenue,Profit
1990,1,General Motors,126974.3,4224.3
1990,2,Ford Motor,96932.6,3835
1990,3,Exxon Mobil,86656.0,3510
1990,4,Intl. Business Machines,63438.0,3758
1990,5,General Electric,55264.0,3939
1990,6,Mobil,50976.0,1809
1990,7,Altria Group,39069.0,2946
1990,8,Chrysler,36156.0,359
1990,9,DuPont,35209.0,2480
1990,10,Texaco,32416.0,2413
1990,11,ChevronTexaco,29443.0,251
1990,12,Amoco,24214.0,1610
1990,13,Shell Oil,21703.0,1405
1990,14,Procter & Gamble,21689.0,1206
1990,15,Boeing,20276.0,973
1990,16,Occidental Petroleum,20068.0,285
1990,17,United Technologies,19765.5,702.1
1990,18,Eastman Kodak,18546.0,529
1990,19,Marathon Oil,17755.0,965
1990,20,Dow Chemical,17730.0,2487
1991,1,General Motors,125126.0,-1985.7
1991,2,Exxon Mobil,105885.0,5010
1991,3,Ford Motor,98274.7,860.1
1991,4,Intl. Business Machines,69018.0,6020
1991,5,Mobil,58770.0,1929
1991,6,General Electric,58414.0,4303
1991,7,Altria Group,44323.0,3540
1991,8,Texaco,41235.0,1450
1991,9,DuPont,39839.0,2310
1991,10,ChevronTexaco,39262.0,2157
1991,11,Chrysler,30868.0,68
1991,12,Amoco,28277.0,1913
1991,13,Boeing,27595.0,1385
1991,14,Shell Oil,24423.0,1036
1991,15,Procter & Gamble,24376.0,1602
1991,16,Occidental Petroleum,21947.0,-1695
1991,17,United Technologies,21783.2,750.6
1991,18,Dow Chemical,20005.0,1384
1991,19,Marathon Oil,19462.0,818
1991,20,Eastman Kodak,19075.0,703
1992,1,General Motors,123780.1,-4452.8
1992,2,Exxon Mobil,103242.0,5600
1992,3,Ford Motor,88962.8,-2258
1992,4,Intl. Business Machines,65394.0,-2827
1992,5,General Electric,60236.0,2636
1992,6,Mobil,56910.0,1920
1992,7,Altria Group,48109.0,3006
1992,8,DuPont,38031.0,1403
1992,9,Texaco,37551.0,1294
1992,10,ChevronTexaco,36795.0,1293
1992,11,Chrysler,29370.0,-795
1992,12,Boeing,29314.0,1567
1992,13,Procter & Gamble,27406.0,1773
1992,14,Amoco,25604.0,1484
1992,15,Shell Oil,22201.0,20
1992,16,United Technologies,21262.0,-1021
1992,17,PepsiCo,19771.2,1080.2
1992,18,Eastman Kodak,19649.0,17
1992,19,ConAgra Foods,19504.7,311.2
1992,20,Dow Chemical,19305.0,942
1993,1,General Motors,132774.9,-23498.3
1993,2,Exxon Mobil,103547.0,4770
1993,3,Ford Motor,100785.6,-7385
1993,4,Intl. Business Machines,65096.0,-4965
1993,5,General Electric,62202.0,4725
1993,6,Mobil,57389.0,862
1993,7,Altria Group,50157.0,4939
1993,8,ChevronTexaco,38523.0,1569
1993,9,DuPont,37386.0,-3927
1993,10,Texaco,37130.0,712
1993,11,Chrysler,36897.0,723
1993,12,Boeing,30414.0,552
1993,13,Procter & Gamble,29890.0,1872
1993,14,Amoco,25543.0,-74
1993,15,PepsiCo,22083.7,374.3
1993,16,United Technologies,22032.0,-287
1993,17,ConAgra Foods,21219.0,372.4
1993,18,Shell Oil,21160.0,-190
1993,19,Eastman Kodak,20577.0,1146
1993,20,Dow Chemical,19080.0,-489
1994,1,General Motors,133621.9,2465.8
1994,2,Ford Motor,108521.0,2529
1994,3,Exxon Mobil,97825.0,5280
1994,4,Intl. Business Machines,62716.0,-8101
1994,5,General Electric,60823.0,4315
1994,6,Mobil,56576.0,2084
1994,7,Altria Group,50621.0,3091
1994,8,Chrysler,43600.0,-2551
1994,9,Texaco,34359.0,1068
1994,10,DuPont,32621.0,555
1994,11,ChevronTexaco,32123.0,1265
1994,12,Procter & Gamble,30433.0,-656
1994,13,Amoco,25336.0,1820
1994,14,Boeing,25285.0,1244
1994,15,PepsiCo,25020.7,1587.9
1994,16,ConAgra Foods,21519.1,270.3
1994,17,Shell Oil,20853.0,781
1994,18,United Technologies,20736.0,487
1994,19,Hewlett-Packard,20317.0,1177
1994,20,Eastman Kodak,20059.0,-1515
1995,1,General Motors,154951.2,4900.6
1995,2,Ford Motor,128439.0,5308
1995,3,Exxon Mobil,101459.0,5100
1995,4,Wal-Mart Stores,83412.4,2681
1995,5,AT&T,75094.0,4676
1995,6,General Electric,64687.0,4726
1995,7,Intl. Business Machines,64052.0,3021
1995,8,Mobil,59621.0,1079
1995,9,Sears Roebuck,54559.0,1454
1995,10,Altria Group,53776.0,4725
1995,11,Chrysler,52224.0,3713
1995,12,State Farm Insurance Cos,38850.1,-244.3
1995,13,Prudential Ins. Co. of America,36945.7,-1175
1995,14,DuPont,34968.0,2727
1995,15,Kmart Holding,34313.0,296
1995,16,Texaco,33768.0,910
1995,17,Citicorp,31650.0,3366
1995,18,ChevronTexaco,31064.0,1693
1995,19,Procter & Gamble,30296.0,2211
1995,20,PepsiCo,28472.4,1752
1996,1,General Motors,168828.6,6880.7
1996,2,Ford Motor,137137.0,4139
1996,3,Exxon Mobil,110009.0,6470
1996,4,Wal-Mart Stores,93627.0,2740
1996,5,AT&T,79609.0,139
1996,6,Intl. Business Machines,71940.0,4178
1996,7,General Electric,70028.0,6573
1996,8,Mobil,66724.0,2376
1996,9,Chrysler,53195.0,2025
1996,10,Altria Group,53139.0,5450
1996,11,Prudential Ins. Co. of America,41330.0,579
1996,12,State Farm Insurance Cos,40809.9,1271.2
1996,13,DuPont,37607.0,3293
1996,14,Texaco,36787.0,607
1996,15,Sears Roebuck,35181.0,1801
1996,16,Kmart Holding,34654.0,-571
1996,17,Procter & Gamble,33434.0,2645
1996,18,ChevronTexaco,32094.0,930
1996,19,Citicorp,31690.0,3464
1996,20,Hewlett-Packard,31519.0,2433
1997,1,General Motors,168369.0,4963
1997,2,Ford Motor,146991.0,4446
1997,3,Exxon Mobil,119434.0,7510
1997,4,Wal-Mart Stores,106147.0,3056
1997,5,General Electric,79179.0,7280
1997,6,Intl. Business Machines,75947.0,5429
1997,7,AT&T,74525.0,5908
1997,8,Mobil,72267.0,2964
1997,9,Chrysler,61397.0,3529
1997,10,Altria Group,54553.0,6303
1997,11,Texaco,44561.0,2018
1997,12,State Farm Insurance Cos,42781.2,2567.9
1997,13,Prudential Ins. Co. of America,40175.0,1006
1997,14,DuPont,39689.0,3636
1997,15,ChevronTexaco,38691.0,2607
1997,16,Hewlett-Packard,38420.0,2586
1997,17,Sears Roebuck,38236.0,1271
1997,18,Procter & Gamble,35284.0,3046
1997,19,Amoco,32726.0,2834
1997,20,Citicorp,32605.0,3788
1998,1,General Motors,178174.0,6698
1998,2,Ford Motor,153627.0,6920
1998,3,Exxon Mobil,122379.0,8460
1998,4,Wal-Mart Stores,119299.0,3526
1998,5,General Electric,90840.0,8203
1998,6,Intl. Business Machines,78508.0,6093
1998,7,Chrysler,61147.0,2805
1998,8,Mobil,59978.0,3272
1998,9,Altria Group,56114.0,6310
1998,10,AT&T,53261.0,4638
1998,11,Boeing,45800.0,-178
1998,12,Texaco,45187.0,2664
1998,13,State Farm Insurance Cos,43957.0,3833.3
1998,14,Hewlett-Packard,42895.0,3119
1998,15,DuPont,41304.0,2405
1998,16,Sears Roebuck,41296.0,1188
1998,17,Citigroup,37609.0,3104
1998,18,Prudential Ins. Co. of America,37073.0,610
1998,19,ChevronTexaco,36376.0,3256
1998,20,Procter & Gamble,35764.0,3415
1999,1,General Motors,161315.0,2956
1999,2,Ford Motor,144416.0,22071
1999,3,Wal-Mart Stores,139208.0,4430
1999,4,Exxon Mobil,100697.0,6370
1999,5,General Electric,100469.0,9296
1999,6,Intl. Business Machines,81667.0,6328
1999,7,Citigroup,76431.0,5807
1999,8,Altria Group,57813.0,5372
1999,9,Boeing,56154.0,1120
1999,10,AT&T,53588.0,6398
1999,11,Bank of America Corp.,50777.0,5165
1999,12,State Farm Insurance Cos,47678.0,1704
1999,13,Mobil,47061.0,2945
1999,14,Hewlett-Packard,44620.9,1319.7
1999,15,Sears Roebuck,41322.0,1048
1999,16,DuPont,39130.0,4480
1999,17,Procter & Gamble,37154.0,3780
1999,18,TIAA-CREF,35889.1,840.4
1999,19,Merrill Lynch,35853.0,1259
1999,20,Prudential Ins. Co. of America,34427.0,1106
2000,1,General Motors,189058.0,6002
2000,2,Wal-Mart Stores,166809.0,5377
2000,3,Exxon Mobil,163881.0,7910
2000,4,Ford Motor,162558.0,7237
2000,5,General Electric,111630.0,10717
2000,6,Intl. Business Machines,87548.0,7712
2000,7,Citigroup,82005.0,9867
2000,8,AT&T,62391.0,3428
2000,9,Altria Group,61751.0,7675
2000,10,Boeing,57993.0,2309
2000,11,Bank of America Corp.,51392.0,7882
2000,12,SBC Communications,49489.0,8159
2000,13,Hewlett-Packard,48253.0,3491
2000,14,Kroger,45351.6,955.9
2000,15,State Farm Insurance Cos,44637.2,1034.1
2000,16,Sears Roebuck,41071.0,1453
2000,17,American Intl. Group,40656.1,5055.4
2000,18,Enron,40112.0,893
2000,19,TIAA-CREF,39410.2,1024.1
2000,20,Compaq Computer,38525.0,569
